date,population,admission,release
2021-02-01,102757.67449378874,1463.6151068095228,2833.5070330944586
2021-02-02,102116.69923417048,2193.4067734761898,2162.894962446527
2021-02-03,102142.59897455222,2196.9254405331762,2420.5857001514446
2021-02-04,102249.49871493393,2529.9254405331767,2055.359033484778
2021-02-05,102243.73178864902,2043.5921071998425,2352.2479223736677
2021-02-06,102188.50652903071,2297.022662755399,1114.997922373667
2021-02-07,102803.13126941248,1729.6226627553983,974.997922373667
2021-02-08,103286.7560097942,1458.6226627553983,2705.29677294838
2021-02-09,102772.24856626787,2190.7893294220653,2390.9888364404437
2021-02-10,102515.6470751225,2134.387345295081,2411.1555031071102
2021-02-11,102256.91225064383,2152.4206786284144,2232.2666142182215
2021-02-12,101998.39964838735,1974.6429008506368,2124.0840745356813
2021-02-13,102017.14895089279,2142.8333770411127,993.2379206895276
2021-02-14,102497.94440724436,1474.033377041113,996.5712540228611
2021-02-15,102636.40653026263,1135.7000437077795,1085.2379206895278
2021-02-16,102796.32103423326,1246.1524246601605,1864.5236349752424
2021-02-17,102567.42125248961,1633.123853231589,1932.320708145974
2021-02-18,102405.25675529877,1775.1562109551662,1955.7083715446668
2021-02-19,102247.53098359819,1792.4825998440551,2466.2083715446665
2021-02-20,102148.47187856425,2367.149266510722,982.6417048779998
2021-02-21,102907.65721797472,1742.7270442884997,1047.5417048779998
2021-02-22,103480.84255738524,1605.3759538703923,2594.8014483853053
2021-02-23,103279.36521326771,2393.3241042677805,2569.9958928297497
2021-02-24,103131.68786915018,2423.1935487122246,2753.5577975916544
2021-02-25,102998.46766788984,2620.2011908013187,2660.527432010839
2021-02-26,102912.1965884444,2578.236550585221,2629.3537838767948
2021-02-27,102887.07935515279,2604.236550585221,1176.7383992614102
2021-02-28,103570.88519878431,1863.4865505852204,1067.680706953718
2021-03-01,104051.69104241581,1548.4865505852206,3368.9421448622147
2021-03-02,103253.60714245755,2661.2634736621435,2617.3473736203846
2021-03-03,103088.52324249936,2450.5134736621435,2804.436659334671
2021-03-04,102954.58219968395,2670.4956165192866,2918.13589576001
2021-03-05,102465.60340234367,2619.7327488722276,2682.2266977276504
2021-03-06,102307.92763530645,2524.717597357076,1238.3933643943167
2021-03-07,102996.25186826919,1926.717597357076,1031.3933643943164
2021-03-08,103675.57610123197,1710.7175973570763,2870.3933643943174
2021-03-09,103229.73366752808,2424.5509306904096,3391.8602011290113
2021-03-10,103024.08511137517,3186.2116449761243,1717.5893677956772
2021-03-11,103102.68655522229,1796.1908116427903,2873.7711859774954
2021-03-12,102921.90618088757,2691.011219806056,2577.076741533051
2021-03-13,102858.70913988618,2513.66982398847,1375.1542159000735
2021-03-14,103431.74101706856,1943.3110930824223,1235.4923977182552
2021-03-15,103796.41597117399,1599.5006851570142,2899.409064384922
2021-03-16,103133.50759194607,2236.5006851570142,2690.9147462031033
2021-03-17,102886.28521750284,2443.692371759885,2784.5814128697702
2021-03-18,102467.18784305964,2362.381765699279,2761.6666401424973
2021-03-19,102153.89918073762,2448.377977820491,2501.710767314359
2021-03-20,102226.13810141805,2573.9496879948038,1258.434647911375
2021-03-21,102839.4516489642,1869.0815287908235,1035.6111184996103
2021-03-22,103484.76519651031,1683.74819545749,2932.8361630628906
2021-03-23,102958.46510769278,2406.536074245369,2604.5861630628897
2021-03-24,102816.41501887525,2462.5360742453686,2648.4611630628897
2021-03-25,102660.48993005774,2490.576074245369,2656.084157715296
2021-03-26,102409.18493927944,2404.7791669369913,2556.542491048629
2021-03-27,102361.12994850111,2509.4875002703247,1200.0424910486297
2021-03-28,103119.07495772283,1957.9875002703243,1199.5424910486297
2021-03-29,103586.01996694453,1666.4875002703243,2909.6139196200584
2021-03-30,103036.9649761662,2361.4928194192607,2768.4668013379924
2021-03-31,102807.56615425443,2539.06797942618,2649.4668013379924
2021-04-01,102600.16733234258,2442.0679794261796,2973.4443013379923
2021-04-02,102092.06017709743,2523.5471460928466,2198.582872766563
2021-04-03,102207.61968851896,2314.142384188084,1195.8328727665637
2021-04-04,102811.17919994048,1799.3923841880844,1081.8328727665637
2021-04-05,103458.73871136199,1729.3923841880844,2839.582872766564
2021-04-06,103153.54822278352,2534.3923841880846,2921.582872766564
2021-04-07,102840.35773420506,2603.6865018351436,2871.4439838776752
2021-04-08,102672.80613451546,2703.8923841880846,2817.1106505443418
2021-04-09,102546.75453482586,2691.892384188085,2658.515412449103
2021-04-10,102590.36960180294,2702.13047942618,1275.0154124491035
2021-04-11,103080.98466878002,1765.6304794261796,1106.8725553062463
2021-04-12,103760.02830718564,1785.9161937118938,2877.3725553062463
2021-04-13,103209.90527892466,2327.2495270452273,2845.3725553062463
2021-04-14,102982.78225066363,2615.5828603785612,2696.3725553062463
2021-04-15,102795.11755573592,2508.7078603785612,2751.1225553062463
